,1p.prs,1p.pst,3p.prs,3p.pst,count
0,pauperize,pauperized,pauperizes,pauperized,0
1,pause,paused,pauses,paused,4606318
2,pave,paved,paves,paved,1248651
3,abandon,abandoned,abandons,abandoned,2747961
4,abase,abased,abases,abased,0
5,paw,pawed,paws,pawed,2004599
6,abash,abashed,abashes,abashed,0
7,abate,abated,abates,abated,470646
8,pawn,pawned,pawns,pawned,0
9,abbreviate,abbreviated,abbreviates,abbreviated,140105
10,abdicate,abdicated,abdicates,abdicated,124123
11,pay,paid,pays,paid,129198530
12,abduct,abducted,abducts,abducted,0
13,abet,abetted,abets,abetted,0
14,abhor,abhorred,abhors,abhorred,0
15,abide,abided,abides,abided,0
16,abjure,abjured,abjures,abjured,27897
17,abnegate,abnegated,abnegates,abnegated,0
18,peach,peached,peaches,peached,3938068
19,abolish,abolished,abolishes,abolished,912065
20,abominate,abominated,abominates,abominated,0
21,peak,peaked,peaks,peaked,0
22,abort,aborted,aborts,aborted,1569892
23,peal,pealed,peals,pealed,182510
24,abound,abounded,abounds,abounded,1494791
25,pearl,pearled,pearls,pearled,18707334
26,about-face,about-faced,about-faces,about-faced,0
27,abrade,abraded,abrades,abraded,0
28,abridge,abridged,abridges,abridged,96435
29,abrogate,abrogated,abrogates,abrogated,137082
30,peck,pecked,pecks,pecked,1961752
31,abscond,absconded,absconds,absconded,31834
32,absent,absented,absents,absented,8831540
33,peculate,peculated,peculates,peculated,0
34,pedal,pedalled,pedals,pedalled,0
35,absolve,absolved,absolves,absolved,166260
36,absorb,absorbed,absorbs,absorbed,2378096
37,peddle,peddled,peddles,peddled,184369
38,abstain,abstained,abstains,abstained,857265
39,abstract,abstracted,abstracts,abstracted,55951880
40,abstract,abstracted,abstracts,abstracted,55951880
41,pee,peed,pees,peed,12811886
42,peek,peeked,peeks,peeked,2539766
43,abuse,abused,abuses,abused,0
44,peel,peeled,peels,peeled,0
45,peep,peeped,peeps,peeped,0
46,peer,peered,peers,peered,0
47,accede,acceded,accedes,acceded,192573
48,peeve,peeved,peeves,peeved,213790
49,accelerate,accelerated,accelerates,accelerated,3199272
50,peg,pegged,pegs,pegged,0
51,accent,accented,accents,accented,0
52,accentuate,accentuated,accentuates,accentuated,0
53,accept,accepted,accepts,accepted,43171429
54,acclaim,acclaimed,acclaims,acclaimed,0
55,acclimate,acclimated,acclimates,acclimated,86128
56,acclimatize,acclimatized,acclimatizes,acclimatized,25887
57,pelt,pelted,pelts,pelted,353623
58,accommodate,accommodated,accommodates,accommodated,7002915
59,pen,penned,pens,penned,0
60,penalize,penalized,penalizes,penalized,251851
61,accompany,accompanied,accompanies,accompanied,0
62,accomplish,accomplished,accomplishes,accomplished,6091676
63,accord,accorded,accords,accorded,0
64,pencil,pencilled,pencils,pencilled,0
65,accost,accosted,accosts,accosted,29427
66,account,accounted,accounts,accounted,0
67,penetrate,penetrated,penetrates,penetrated,1546460
68,accredit,accredited,accredits,accredited,0
69,accrete,accreted,accretes,accreted,19487
70,accrue,accrued,accrues,accrued,927430
71,accumulate,accumulated,accumulates,accumulated,1715457
72,accuse,accused,accuses,accused,1048371
73,accustom,accustomed,accustoms,accustomed,0
74,ache,ached,aches,ached,1069323
75,achieve,achieved,achieves,achieved,27332769
76,acidify,acidified,acidifies,acidified,15957
77,acidulate,acidulated,acidulates,acidulated,0
78,acknowledge,acknowledged,acknowledges,acknowledged,6546612
79,acquiesce,acquiesced,acquiesces,acquiesced,133376
80,people,peopled,peoples,peopled,0
81,pepper,peppered,peppers,peppered,0
82,acquire,acquired,acquires,acquired,8803690
83,acquit,acquitted,acquits,acquitted,0
84,perambulate,perambulated,perambulates,perambulated,0
85,perceive,perceived,perceives,perceived,0
86,act,acted,acts,acted,141076205
87,perch,perched,perches,perched,0
88,percolate,percolated,percolates,percolated,73602
89,activate,activated,activates,activated,5014202
90,peregrinate,peregrinated,peregrinates,peregrinated,0
91,actuate,actuated,actuates,actuated,650482
92,perfect,perfected,perfects,perfected,60179071
93,perforate,perforated,perforates,perforated,43487
94,perform,performed,performs,performed,30378944
95,adapt,adapted,adapts,adapted,4675567
96,perfume,perfumed,perfumes,perfumed,0
97,add,added,adds,added,387231739
98,addict,addicted,addicts,addicted,0
99,addle,addled,addles,addled,15267
100,address,addressed,addresses,addressed,0
101,adduce,adduced,adduces,adduced,75588
102,perish,perished,perishes,perished,0
103,adhere,adhered,adheres,adhered,2655276
104,perjure,perjured,perjures,perjured,13543
105,perk,perked,perks,perked,391391
106,perm,permed,perms,permed,0
107,adjoin,adjoined,adjoins,adjoined,71600
108,adjourn,adjourned,adjourns,adjourned,957864
109,adjudge,adjudged,adjudges,adjudged,30916
110,adjudicate,adjudicated,adjudicates,adjudicated,204822
111,adjure,adjured,adjures,adjured,0
112,adjust,adjusted,adjusts,adjusted,9115016
113,permeate,permeated,permeates,permeated,260407
114,ad-lib,ad-libbed,ad-libs,ad-libbed,0
115,administer,administered,administers,administered,0
116,permit,permitted,permits,permitted,26339544
117,permute,permuted,permutes,permuted,58407
118,perorate,perorated,perorates,perorated,0
119,admire,admired,admires,admired,0
120,perpetrate,perpetrated,perpetrates,perpetrated,120486
121,admit,admitted,admits,admitted,8780656
122,admix,admixed,admixes,admixed,17678
123,perpetuate,perpetuated,perpetuates,perpetuated,0
124,admonish,admonished,admonishes,admonished,101473
125,perplex,perplexed,perplexes,perplexed,0
126,persecute,persecuted,persecutes,persecuted,211372
127,adopt,adopted,adopts,adopted,11272339
128,persevere,persevered,perseveres,persevered,0
129,adore,adored,adores,adored,1176240
130,adorn,adorned,adorns,adorned,464591
131,persist,persisted,persists,persisted,1821030
132,adulate,adulated,adulates,adulated,0
133,adulterate,adulterated,adulterates,adulterated,21055
134,personalize,personalized,personalizes,personalized,2472227
135,adumbrate,adumbrated,adumbrates,adumbrated,0
136,personate,personated,personates,personated,0
137,advance,advanced,advances,advanced,44738913
138,personify,personified,personifies,personified,53035
139,advantage,advantaged,advantages,advantaged,0
140,perspire,perspired,perspires,perspired,0
141,adventure,adventured,adventures,adventured,0
142,persuade,persuaded,persuades,persuaded,0
